stop_name,stop_id,stop_lat,stop_lon
Dommasandra,5gl,12.87953,77.75375
Dommasandra Circle,1p,12.88311,77.75246
Dommasandra Circle,1ry,12.88322,77.75241
Dommasandra Circle,6kz,12.8833,77.75237
Donnenahalli,4ju,12.88427,77.37521
Donnenahalli,61r,12.88423,77.37519
Dorekavalu,2k9,13.2621,77.68637
Dorekavalu,4k9,13.26215,77.68632
Double Road,3du,12.87874,77.60967
Double Road,v7,12.87874,77.6097
Double Road BEML Layout,1ai,12.91489,77.52066
Double Road BEML Layout,2ou,12.9148,77.52066
Double Road BEML Layout,68y,12.91558,77.51347
Double Road Indiranagara,3l4,12.97832,77.6366
Double Road Indiranagara,f2,12.97821,77.63645
Dr Ambedkar Nagara,mk,12.97981,77.75279
Dr BR Ambedkar Bus Terminal (Domlur),3m8,12.96191,77.63853
Dr BR Ambedkar Bus Terminal (Domlur),fe,12.96163,77.63881
Dr Shivaramkaranth Residents,22d,13.06893,77.62544
Dr Shivaramkaranth Residents,v3,13.06908,77.62542
Dr.Shivaramakaranth Nagara,1un,13.06812,77.62939
Dr.Shivaramakaranth Nagara,6kl,13.06831,77.62917
Dubasipalya,36r,12.92747,77.4952
Dubasipalya Cross,4do,12.92273,77.49603
Dubasipalya Cross,6d8,12.9229,77.49583
Dudapanahalli,1he,12.96018,77.29642
Dudapanahalli,2el,12.96021,77.29614
Durga Bakery Mallathahallli,1ar,12.96098,77.50162
Durga Parameshwari Temple,5cu,13.08182,77.55979
Durga Parameshwari Temple,5kg,13.08182,77.55975
Dwaraka Layout,yo,12.90002,77.52335
Dwaraka Nagara,1vg,13.0878,77.49515
Dwaraka Nagara,4ac,13.08783,77.49516
Dwaraka Nagara,4fm,13.12136,77.61808
Dwaraka Nagara,5er,13.12125,77.61816
Dyavalingaiahnapalya,2r7,12.8502,77.41584
Dyavalingaiahnapalya,631,12.85026,77.41591
Dyavarahalli,2j7,13.23979,77.59911
Dyavarahalli Cross,3iv,13.23141,77.60744
Dyavarahalli Cross,7t,13.23135,77.60747
Dyavarahalli Gate,6lj,13.23138,77.60738
Dyavasandra,1xd,12.75752,77.648
Dyavasandra,2dg,12.75753,77.64803
Dyavasandra Cross,4u1,12.75797,77.64048
Dyavasandra Cross,c6,12.75791,77.64044
E Hosuru,2gr,13.22706,77.60585
E Hosuru,dt,13.22706,77.60587
E Muthsandra,168,13.14543,77.81562
ELC NICE Road,1vk,12.85806,77.65885
ELC NICE Road,4ip,12.85824,77.6588
ELC Toll Point,388,12.84621,77.67184
EMC2,2j9,12.98239,77.69288
EMC2,3ol,12.98256,77.69301
ESI Hospital Indiranagara,1zr,12.97136,77.63627
ESI Hospital Rajajinagara,335,12.99069,77.55258
ESI Hospital Rajajinagara,4rz,12.99041,77.55256
ESI Hospital Rajajinagara,4uz,12.99101,77.55084
ESI Hospital Rajajinagara,6b,12.99075,77.55091
ESI Hospital White Field,5as,12.99076,77.70641
Eagleton Resort,2fa,12.81067,77.41626
Eagleton Resort,7d,12.81054,77.41626
East End Jayanagara,1au,12.91671,77.59629
East End Jayanagara,2v4,12.91709,77.59683
East End Jayanagara,39d,12.91684,77.59739
East Point College,3t0,13.05014,77.71999
East Point College,5zz,13.05001,77.72002
East Point College,sv,13.05085,77.71401
East Railway Station,32d,13.00143,77.61865
East West College Cross,1uc,12.98568,77.48629
East West College Cross,gu,12.98559,77.48632
East West Public School,1lc,13.00547,77.55647
East West Public School,5jq,13.00556,77.55638
Ebenezer International School,3uo,12.83948,77.70655
Echalamara Vidyaranyapura,3bp,13.08008,77.55932
Echalamara Vidyaranyapura,e5,13.08,77.55935
Eco Space,6kg,12.92838,77.6812
Eco Space,6og,12.92776,77.68049
Ejipura,2qn,12.94684,77.62876
Ejipura,35c,12.94669,77.62883
Ejipura School,2xl,12.94272,77.63081
Ejipura School,tl,12.94257,77.63085
ElC City Phase-2 Xavier Institute of Management,585,12.84756,77.67529
Electric B Station,8n,12.97405,77.61394
Electronic City,1z3,12.84536,77.66543
Electronic City,2w5,12.84549,77.6653
Electronic City,4dp,12.84815,77.67083
Electronic City,59g,12.84756,77.6707
Electronic City,up,12.84697,77.6707
Electronic City,ut,12.84717,77.67049
Electronic City East Phase-II,5zx,12.84498,77.68094
Electronic City FLY,6by,12.84813,77.67072
Electronic City FLY,j9,12.84598,77.67202
Electronic City KIA,248,12.85049,77.66201
Electronic City PESIT College,3zl,12.85881,77.6624
Electronic City PESIT College,54p,12.85897,77.66179
